level,1,2,3,4
1,1,1,1,1
2,1.077,1.083,1.088,1.093
3,1.154,1.165,1.176,1.186
4,1.230,1.248,1.264,1.280
5,1.306,1.330,1.353,1.374
6,1.382,1.413,1.442,1.469
7,1.457,1.495,1.531,1.565
8,1.533,1.578,1.621,1.661
9,1.607,1.661,1.710,1.757
10,1.682,1.743,1.800,1.854
11,1.757,1.826,1.891,1.952
12,1.831,1.908,1.981,2.049
13,1.905,1.991,2.072,2.147
14,1.979,2.073,2.162,2.246
15,2.052,2.156,2.253,2.345
16,2.126,2.239,2.345,2.444
17,2.199,2.321,2.436,2.544
18,2.272,2.404,2.527,2.644
19,2.345,2.486,2.619,2.744
20,2.417,2.569,2.711,2.845
21,2.490,2.651,2.803,2.946
22,2.562,2.734,2.895,3.047
23,2.634,2.817,2.987,3.148
24,2.707,2.899,3.080,3.250
25,2.778,2.982,3.172,3.352
26,2.850,3.064,3.265,3.454
27,2.922,3.147,3.358,3.557
28,2.993,3.229,3.451,3.660
29,3.065,3.312,3.544,3.762
30,3.136,3.394,3.637,3.866
31,3.207,3.477,3.731,3.969
32,3.278,3.560,3.824,4.073
33,3.349,3.642,3.918,4.177
34,3.420,3.725,4.011,4.281
35,3.490,3.807,4.105,4.385
36,3.561,3.890,4.199,4.489
37,3.632,3.972,4.293,4.594
38,3.702,4.055,4.387,4.699
39,3.772,4.138,4.481,4.803
40,3.842,4.220,4.575,4.909
41,3.913,4.303,4.669,5.014
42,3.983,4.385,4.763,5.119
43,4.053,4.468,4.858,5.225
44,4.122,4.550,4.952,5.330
45,4.192,4.633,5.047,5.436
46,4.262,4.716,5.142,5.542
47,4.332,4.798,5.236,5.648
48,4.401,4.881,5.331,5.755
49,4.471,4.963,5.426,5.861
50,4.540,5.046,5.521,5.968
51,4.609,5.128,5.616,6.074
52,4.679,5.211,5.711,6.181
53,4.748,5.294,5.806,6.288
54,4.817,5.376,5.901,6.395
55,4.886,5.459,5.996,6.502
56,4.955,5.541,6.092,6.609
57,5.024,5.624,6.187,6.717
58,5.093,5.706,6.282,6.824
59,5.162,5.789,6.378,6.932
60,5.231,5.872,6.473,7.039
61,5.300,5.954,6.569,7.147
62,5.368,6.037,6.664,7.255
63,5.437,6.119,6.760,7.363
64,5.506,6.202,6.856,7.471
65,5.574,6.284,6.951,7.579
66,5.643,6.367,7.047,7.687
67,5.711,6.450,7.143,7.795
68,5.780,6.532,7.239,7.904
69,5.848,6.615,7.335,8.012
70,5.916,6.697,7.431,8.120
71,5.985,6.780,7.527,8.229
72,6.053,6.862,7.623,8.338
73,6.121,6.945,7.719,8.446
74,6.189,7.028,7.815,8.555
75,6.257,7.110,7.911,8.664
76,6.326,7.193,8.007,8.773
77,6.394,7.275,8.103,8.882
78,6.462,7.358,8.199,8.991
79,6.530,7.440,8.296,9.100
80,6.598,7.523,8.392,9.209
81,6.665,7.606,8.488,9.319
82,6.733,7.688,8.585,9.428
83,6.801,7.771,8.681,9.537
84,6.869,7.853,8.777,9.647
85,6.937,7.936,8.874,9.756
86,7.005,8.018,8.970,9.866
87,7.072,8.101,9.067,9.975
88,7.140,8.183,9.163,10.085
89,7.208,8.266,9.260,10.195
90,7.275,8.349,9.356,10.305
